W,L,G,GS,GF,CG,SHO,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,ROY,AS,GG,CY,name,Age,index,Tm,Awards,Lg,Year,W-L%,ERA,FIP,WHIP,H9,HR9,BB9,SO9,hof
25.0,30.0,174.0,56.0,25.0,0.0,0.0,412.7,417.0,231.0,222.0,54.0,172.0,19.0,358.0,26.0,0.0,19.0,0,0,0,0,Adam Conley,29,14998,"MIA, MIA, MIA, MIA, MIA","nan, nan, nan, nan, nan","NL, NL, NL, NL, NL",2015-2019,0.4908,4.8740000000000006,4.482,1.4045999999999998,9.0,1.1800000000000002,3.64,7.88,no
74.0,73.0,221.0,209.0,6.0,3.0,0.0,1225.8,1318.0,732.0,691.0,177.0,475.0,36.0,890.0,52.0,1.0,37.0,0,0,0,0,Adam Eaton,31,27888,"SDP, SDP, SDP, SDP, SDP, SDP, TEX, PHI, PHI, TOT, BAL, COL","nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan","NL, NL, NL, NL, NL, NL, AL, NL, NL, MLB, AL, NL",2000-2009,0.5365,5.524166666666667,5.093333333333333,1.5631666666666666,9.925,1.375,4.141666666666667,6.575,no
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,Adam Greenberg,24,37929,CHC,,NL,2005-2005,,,,,,,,,no
1.0,3.0,9.0,4.0,1.0,0.0,0.0,26.1,40.0,33.0,30.0,7.0,14.0,0.0,17.0,5.0,0.0,2.0,0,0,0,0,Adam Johnson,23,49022,"MIN, MIN","nan, nan","AL, AL",2001-2003,0.1664999999999999,27.765,11.0,4.275,32.75,4.5,5.75,3.05,no
17.0,6.0,235.0,0.0,51.0,0.0,0.0,179.5,169.0,77.0,71.0,19.0,50.0,11.0,130.0,12.0,0.0,6.0,0,0,0,0,Adam Kolarek,32,53419,"TBR, TBR, TOT, TBR, LAD, LAD, OAK","nan, nan, nan, nan, nan, nan, nan","AL, AL, MLB, AL, NL, NL, AL",2017-2021,0.8729999999999999,3.9071428571428575,4.741428571428571,1.3075714285714286,8.971428571428572,1.1142857142857143,2.7857142857142856,5.9,active
6.0,5.0,118.0,0.0,19.0,0.0,0.0,87.5,73.0,35.0,35.0,6.0,36.0,8.0,93.0,3.0,0.0,2.0,0,0,0,0,Adam Liberatore,31,57463,"LAD, LAD, LAD, LAD","nan, nan, nan, nan","NL, NL, NL, NL",2015-2018,0.5556666666666666,3.275,3.16,1.315,7.525,0.5,4.300000000000001,10.125,no
10.0,8.0,63.0,29.0,11.0,0.0,0.0,188.4,190.0,130.0,123.0,18.0,129.0,1.0,159.0,15.0,2.0,12.0,0,0,0,0,Adam Loewen,32,58401,"BAL, BAL, BAL, PHI, ARI","nan, nan, nan, nan, nan","AL, AL, AL, NL, NL",2006-2016,0.7,7.786,6.096,1.8768,9.44,1.1800000000000002,7.44,7.0,no
0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,4.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0,0,0,0,Adam McCreery,25,64542,ATL,,NL,2018-2018,,18.0,-0.84,4.0,36.0,0.0,0.0,18.0,no
13.0,27.0,206.0,36.0,22.0,0.0,0.0,346.8,369.0,204.0,189.0,61.0,106.0,9.0,305.0,11.0,2.0,8.0,0,0,0,0,Adam Morgan,31,60509,"PHI, PHI, PHI, PHI, PHI, PHI, CHC","nan, nan, nan, nan, nan, nan, nan","NL, NL, NL, NL, NL, NL, NL",2015-2021,0.2618333333333333,5.180000000000001,5.408571428571428,1.471857142857143,9.457142857142856,1.9,3.8,8.32857142857143,active
27.0,30.0,503.0,3.0,98.0,0.0,0.0,532.8,458.0,222.0,206.0,48.0,243.0,24.0,620.0,25.0,2.0,47.0,0,0,0,0,Adam Ottavino,35,72796,"STL, COL, COL, COL, COL, COL, COL, COL, NYY, NYY, BOS","nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan","NL, NL, NL, NL, NL, NL, NL, NL, AL, AL, AL",2010-2021,0.4525454545454545,3.626363636363637,3.4718181818181817,1.298181818181818,7.8,0.8272727272727273,3.89090909090909,10.363636363636363,active
5.0,11.0,42.0,27.0,5.0,2.0,0.0,156.5,174.0,108.0,99.0,25.0,68.0,3.0,77.0,2.0,1.0,11.0,0,0,0,0,Adam Peterson,25,77703,"CHW, CHW, CHW, CHW, SDP, TOR","nan, nan, nan, nan, nan, nan","AL, AL, AL, AL, NL, AL",1987-2004,0.17875,11.345,6.223333333333334,2.3508333333333336,15.033333333333331,1.7166666666666668,6.116666666666667,5.15,no
1.0,7.0,19.0,10.0,2.0,0.0,0.0,69.0,92.0,57.0,51.0,12.0,23.0,3.0,41.0,5.0,0.0,2.0,0,0,0,0,Adam Pettyjohn,31,77903,"DET, CIN","nan, nan","AL, NL",2001-2008,0.0715,13.035,8.175,2.4095,18.0,2.95,3.7,3.9,no
